"","Var1","Var2","Freq"
"1","A Minor Problem","Democratic",0.0220332394674062
"2","A Serious Problem; Not a Crisis","Democratic",0.21461152311959
"3","A Significant Crisis","Democratic",0.751798185861445
"4","No Response","Democratic",0.00227435800220106
"5","Not a Problem","Democratic",0.00928269354935797
"6","A Minor Problem","No Response",0.0362995034278065
"7","A Serious Problem; Not a Crisis","No Response",0.279150883701573
"8","A Significant Crisis","No Response",0.644620304013753
"9","No Response","No Response",0.0326488097779296
"10","Not a Problem","No Response",0.00728049907893834
"11","A Minor Problem","Republican",0.0429111519637272
"12","A Serious Problem; Not a Crisis","Republican",0.356895251099699
"13","A Significant Crisis","Republican",0.582179512629545
"14","No Response","Republican",0.00361271603410355
"15","Not a Problem","Republican",0.014401368272925
