Country,State,County,Date,Type
United States,Alabama,,4/4/2020,Stay at home
United States,Alabama,Birmingham,3/24/2020,Shelter in place
United States,Alaska,,3/28/2020,Stay at home
United States,Arizona,,3/31/2020,Stay at home
United States,California,,3/19/2020,Stay at home
United States,Colorado,,3/26/2020,Stay at home
United States,Connecticut,,3/23/2020,Stay at home
United States,Delaware,,3/24/2020,Shelter in place
United States,District of Columbia,,4/1/2020,Stay at home
United States,Florida,,4/3/2020,Stay at home
United States,Florida,Alachua,3/24/2020,Stay at home
United States,Florida,Broward,3/27/2020,Shelter in place
United States,Florida,Hillsborough,3/27/2020,Stay at home
United States,Florida,Leon,3/25/2020,Stay at home
United States,Florida,Miami,3/25/2020,Stay at home
United States,Florida,Dade,3/25/2020,Stay at home
United States,Florida,Monroe,3/30/2020,Stay at home
United States,Florida,Orange,3/26/2020,Stay at home
United States,Florida,Osceola,3/26/2020,Stay at home
United States,Florida,Palm Beach,3/30/2020,Stay at home
United States,Florida,Pinellas,3/26/2020,Stay at home
United States,Georgia,,4/3/2020,Shelter in place
United States,Georgia,Altlanta,3/24/2020,Stay at home
United States,Georgia,Avondale Estates,3/26/2020,Stay at home
United States,Georgia,Blakely,3/24/2020,Shelter in place
United States,Georgia,Brookhaven,3/24/2020,Shelter in place
United States,Georgia,Carrollton,3/25/2020,Shelter in place
United States,Georgia,Chamblee,3/28/2020,Stay at home
United States,Georgia,Clarkston,3/29/2020,Stay at home
United States,Georgia,Decatur,3/25/2020,Stay at home
United States,Georgia,Doraville,3/26/2020,Stay at home
United States,Georgia,Dunwoody,3/29/2020,Stay at home
United States,Georgia,Forest Park,3/30/2020,Stay at home
United States,Georgia,Savannah,3/24/2020,Shelter in place
United States,Georgia,Athens,3/20/2020,Shelter in place
United States,Georgia,Clarke,3/20/2020,Shelter in place
United States,Georgia,Cobb,3/25/2020,Shelter in place
United States,Georgia,Dougherty,3/21/2020,Shelter in place
United States,Georgia,Gwinnett,3/28/2020,Stay at home
United States,Hawaii,,3/25/2020,Stay at home
United States,Idaho,,3/25/2020,Stay at home
United States,Illinois,,3/21/2020,Stay at home
United States,Indiana,,3/25/2020,Stay at home
United States,Kansas,,3/30/2020,Stay at home
United States,Kentucky,,3/26/2020,Stay at home
United States,Louisiana,,3/23/2020,Stay at home
United States,Maine,,4/2/2020,Stay at home
United States,Maine,Portland,3/25/2020,Stay at home
United States,Maryland,,3/30/2020,Stay at home
United States,Massachusetts,,3/24/2020,Stay at home
United States,Michigan,,3/24/2020,Stay at home
United States,Minnesota,,3/28/2020,Stay at home
United States,Mississippi,,4/3/2020,Shelter in place
United States,Mississippi,Oxford,3/22/2020,Stay at home
United States,Mississippi,Tupelo,3/22/2020,Shelter in place
United States,Mississippi,Lauderdale,3/21/2020,Shelter in place
United States,Missouri,,4/6/2020,Stay at home
United States,Missouri,Kansas City,3/24/2020,Stay at home
United States,Missouri,St. Joseph,3/24/2020,Shelter in place
United States,Missouri,St. Louis City,3/23/2020,Stay at home
United States,Missouri,Boone,3/25/2020,Stay at home
United States,Missouri,Cass,3/24/2020,Stay at home
United States,Missouri,Clay,3/24/2020,Stay at home
United States,Missouri,Cole,3/23/2020,Stay at home
United States,Missouri,Greene,3/26/2020,Stay at home
United States,Missouri,Jackson,3/24/2020,Stay at home
United States,Missouri,Jefferson,3/24/2020,Stay at home
United States,Missouri,Platte,3/24/2020,Shelter in place
United States,Missouri,Randolph,3/25/2020,Stay at home
United States,Missouri,Ray,3/25/2020,Stay at home
United States,Missouri,St. Louis,3/23/2020,Stay at home
United States,Montana,,3/28/2020,Stay at home
Unites States,Nevada,,4/1/2020,Stay at home
United States,New Hampshire,,3/28/2020,Stay at home
United States,New Jersey,,3/21/2020,Stay at home
United States,New Mexico,,3/24/2020,Stay at home
United States,New York,,3/22/2020,Stay at home
United States,North Carolina,,3/30/2020,Stay at home
United States,Ohio,,3/24/2020,Stay at home
United States,Oklahoma,Ardmore,4/7/2020,Stay at home
